name,latitude,longitude,free_bikes,empty_slots
Hollywood North Beach,26.03444,-80.11455,2,9
Earl Lifshey 3.0,26.16739,-80.10032,5,7
Atlantic & Briny,26.23237,-80.08965,6,3
Esplanade Park,26.12026,-80.14819,6,5
Bayshore & A1A 3.0,26.12807,-80.10368,11,6
Holiday Park at Sunrise,26.13707,-80.12981,8,3
Broadwalk at Jefferson St.,26.00656,-80.116,12,5
Las Olas Beach Park,26.11837,-80.10492,5,9
Las Olas & SE 9th Ave,26.11954,-80.13407,4,7
George English Park,26.13813,-80.1157,5,6
Galleria,26.13776,-80.11248,3,8
Courthouse (540 Bldg),26.11501,-80.14008,5,6
Sunrise & Ocean 3.0,26.13778,-80.10325,3,10
Las Olas Parking Garage,26.11975,-80.10715,7,4
Lauderdale by the Sea,26.19081,-80.09666,3,7
Convention Center 3.0,26.10088,-80.12377,9,3
Sebastian Lot 3.0,26.12431,-80.1041,4,10
South Beach Lot 3.0,26.11414,-80.10482,6,3
South Beach Lot #2 3.0,26.10985,-80.10608,9,1
Willingham Park,26.15495,-80.10109,6,8
